Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs
Thu Mar 18 2021,0,0,0,1,1,3,0,1,0,0,0,0,0,0,2.3,0,0,0,0.0034999999999999996,0,0,0,0,1,1,0,0
Fri Mar 19 2021,0,0,6.23,291,13,1,1,0,0,38,10,940,151,22,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0
Sat Mar 20 2021,0,0,0,1,1,11,0,1,0,0,0,0,0,0,2.255,0,0,0.14,0.0034999999999999996,0,0,0,0,1,1,0,0
Sun Mar 21 2021,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 22 2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Mar 23 2021,0,0,4.65,260,12,0,0,3,0.35,23,7,847,181,18,0,0,0,0,0.0245,0,0,0,0,0,0,0,0
Wed Mar 24 2021,0,0,7.32,709,14,0,1,1,0.06,45,11,1618,222,23,0,0,0,0,0.0245,0,0,0,0,0,0,0,0
Thu Mar 25 2021,0,0,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0
Fri Mar 26 2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Mar 27 2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Mar 28 2021,0,0,10.84,463,25,0,0,4,19.49,94,21,2494,229,67,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Mon Mar 29 2021,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2.305,0,0,0,0.006999999999999999,0,0,0,0,1,1,0,0
Tue Mar 30 2021,0,0,6.61,422,14,12,2,2,0,31,11,1500,227,22,0,0,0,0,0.0315,0,0,0,0,0,0,0,0
Wed Mar 31 2021,0,0,7.06,389,13,5,0,1,0,37,10,1355,192,20,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Thu Apr 01 2021,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Fri Apr 02 2021,0,0,7.67,454,15,4,0,2,0,47,12,1956,255,27,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Sat Apr 03 2021,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0
Sun Apr 04 2021,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 05 2021,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 06 2021,0,0,8.21,596,15,7,0,0,0,36,11,1643,200,21,0,0,0,0,0.027999999999999997,0,0,0,0,0,0,0,0
Wed Apr 07 2021,0,0,5.84,470,12,0,0,1,0,25,8,1127,193,20,2.375,0,0,0,0.0175,0,0,0,0,1,1,0,0
Thu Apr 08 2021,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Apr 09 2021,0,0,7.85,360,14,0,0,0,0.07,29,10,1453,185,23,0,0,0,0,0.0245,0,0,0,0,0,0,0,0
Sat Apr 10 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Apr 11 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 12 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 13 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Apr 14 2021,0,0,4.5,182,14,0,0,1,0.75,49,9,936,208,26,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Thu Apr 15 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,0,2,0,0,0,0
Fri Apr 16 2021,0,0,4.26,300,13,0,0,2,0,43,7,823,193,24,0,0,0,0,0.027999999999999997,0,0,0,0,0,0,0,0
Sat Apr 17 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,0,0,0,0,1,1,0,0
Sun Apr 18 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,1,1,0,0
Mon Apr 19 2021,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 20 2021,0,0,9.05,457,20,0,0,4,1.47,61,15,1838,203,38,2.255,0,0,0,0.055999999999999994,0,0,0,0,1,1,0,0
Wed Apr 21 2021,0,0,7.48,295,24,0,0,4,4.25,50,26,1436,192,35,2.25,0,0,2,0.0175,0,0,0,0,1,1,0,0
Thu Apr 22 2021,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0.08,0,0,0,0,0,0
Fri Apr 23 2021,0,0,10.11,375,20,0,1,0,6.87,72,24,2082,207,38,0,0,0,0,0.077,0,0,0,0,0,0,0,0
Sat Apr 24 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0.48,0,0,0,0,0,0
Sun Apr 25 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 26 2021,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 27 2021,0,0,9.35,350,17,0,0,0,3.71,50,16,1777,190,24,0,0,0,0,0.049,0,0,0,0,0,0,0,0
Wed Apr 28 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
Thu Apr 29 2021,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2.305,0,0,0,0,0,0,0,0,1,1,0,0
Fri Apr 30 2021,0,0,5.93,235,9,0,0,2,0,18,9,682,115,17,0,0,0,0,0.021,0,0,0,0,0,0,0,0
Sat May 01 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
Sun May 02 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 03 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 04 2021,0,0,7.82,331,17,1,0,1,0,59,14,1384,177,34,0,0,0,0,0.0455,0,0,0,0,0,0,0,0
Wed May 05 2021,0,0,6.18,234,17,0,0,0,0,41,10,1348,218,22,0,0,0,2.05,0.0455,0,0,0,0,0,0,0,0
